Bezug,Artikelnummer,Name_Suche,Datum,erfüllt,Benutzer,Lichtart,BA-Nr.,L*,a*,b*,"ΔL* ±1,5","Δa* ±0,40","Δb* ±0,40",ΔE*
,100012,Artikel Mu,13.01.2025 09:33,erfüllt,Mitarbeiter B,D45,BA-1003,"54,42","-0,04","3,7","-0,58","-0,04","-0,3","0,65"
,100018,Artikel Sigma,13.01.2025 19:12,erfüllt,Mitarbeiter A,D45,BA-1001,"54,87","-0,28","4,06","-0,13","-0,28","0,06","0,31"
,100001,Artikel Alpha,15.01.2025 04:32,erfüllt,Mitarbeiter C,D45,BA-1002,"55,98","0,06","4,31","0,98","0,06","0,31","1,03"
,100001,Artikel Alpha,15.01.2025 18:49,nicht erfüllt,Mitarbeiter D,D45,BA-1003,"55,96","0,25","4,6","0,96","0,25","0,6","1,16"
,100022,Artikel Chi,16.01.2025 14:21,erfüllt,Mitarbeiter C,D45,BA-1001,"54,86","-0,18","4,32","-0,14","-0,18","0,32","0,39"
,100016,Artikel Pi,17.01.2025 17:00,erfüllt,Mitarbeiter D,D45,BA-1004,"54,56","-0,14","4,31","-0,44","-0,14","0,31","0,56"
,100002,Artikel Beta,17.01.2025 18:06,nicht erfüllt,Mitarbeiter B,D45,BA-1004,"55,34","-0,49","4,06","0,34","-0,49","0,06","0,6"
,100024,Artikel Omega,18.01.2025 08:51,erfüllt,Mitarbeiter C,D45,BA-1001,"55,58","-0,06","4,06","0,58","-0,06","0,06","0,59"
,100001,Artikel Alpha,18.01.2025 14:38,erfüllt,Mitarbeiter C,D45,BA-1004,"55,45","0,09","3,88","0,45","0,09","-0,12","0,47"
,100025,Artikel Nova,19.01.2025 08:17,nicht erfüllt,Mitarbeiter A,D45,BA-1003,"54,33","-0,61","4,3","-0,67","-0,61","0,3","0,95"
,100005,Artikel Epsilon,19.01.2025 12:50,erfüllt,Mitarbeiter C,D45,BA-1003,"54,83","-0,01","4,09","-0,17","-0,01","0,09","0,19"
,100016,Artikel Pi,20.01.2025 02:06,erfüllt,Mitarbeiter B,D45,BA-1003,"53,88","0,23","3,7","-1,12","0,23","-0,3","1,18"
,100004,Artikel Delta,20.01.2025 17:24,erfüllt,Mitarbeiter A,D45,BA-1001,"54,71","-0,25","4,16","-0,29","-0,25","0,16","0,41"
,100016,Artikel Pi,21.01.2025 04:39,erfüllt,Mitarbeiter B,D45,BA-1002,"54,62","0,2","4,33","-0,38","0,2","0,33","0,54"
,100017,Artikel Rho,21.01.2025 14:31,nicht erfüllt,Mitarbeiter B,D45,BA-1003,"53,21","0,12","3,72","-1,79","0,12","-0,28","1,82"
,100012,Artikel Mu,22.01.2025 18:41,erfüllt,Mitarbeiter B,D45,BA-1001,"53,79","-0,34","4,13","-1,21","-0,34","0,13","1,26"
,100013,Artikel Nu,23.01.2025 05:08,erfüllt,Mitarbeiter C,D45,BA-1002,"54,02","-0,22","4,23","-0,98","-0,22","0,23","1,03"
,100007,Artikel Eta,23.01.2025 21:19,erfüllt,Mitarbeiter A,D45,BA-1004,"54,9","-0,17","4,29","-0,1","-0,17","0,29","0,35"
,100004,Artikel Delta,24.01.2025 01:21,erfüllt,Mitarbeiter B,D45,BA-1004,"54,7","0,21","3,72","-0,3","0,21","-0,28","0,46"
,100015,Artikel Omikron,24.01.2025 12:02,erfüllt,Mitarbeiter C,D45,BA-1003,"55,96","0,18","4,03","0,96","0,18","0,03","0,98"
,100009,Artikel Iota,25.01.2025 07:47,erfüllt,Mitarbeiter D,D45,BA-1001,"55,37","-0,14","4,29","0,37","-0,14","0,29","0,49"
,100018,Artikel Sigma,25.01.2025 16:56,erfüllt,Mitarbeiter A,D45,BA-1001,"55,98","0,12","3,87","0,98","0,12","-0,13",1
,100001,Artikel Alpha,26.01.2025 02:05,nicht erfüllt,Mitarbeiter D,D45,BA-1004,"57,18","0,02","3,72","2,18","0,02","-0,28","2,2"
,100018,Artikel Sigma,26.01.2025 08:29,erfüllt,Mitarbeiter A,D45,BA-1002,"55,5","-0,13","3,78","0,5","-0,13","-0,22","0,56"
,100023,Artikel Psi,26.01.2025 14:45,erfüllt,Mitarbeiter D,D45,BA-1003,"55,19","-0,18","3,69","0,19","-0,18","-0,31","0,41"
,100024,Artikel Omega,27.01.2025 08:48,erfüllt,Mitarbeiter D,D45,BA-1001,"54,2","0,01","3,76","-0,8","0,01","-0,24","0,84"
,100006,Artikel Zeta,28.01.2025 18:01,erfüllt,Mitarbeiter B,D45,BA-1001,"54,17","0,31","3,7","-0,83","0,31","-0,3","0,94"
,100009,Artikel Iota,28.01.2025 22:56,erfüllt,Mitarbeiter C,D45,BA-1003,"55,33","0,14","3,68","0,33","0,14","-0,32","0,48"
,100008,Artikel Theta,28.01.2025 23:39,erfüllt,Mitarbeiter A,D45,BA-1004,"54,79","0,19","3,91","-0,21","0,19","-0,09","0,3"
,100020,Artikel Upsilon,29.01.2025 00:15,nicht erfüllt,Mitarbeiter A,D45,BA-1001,"52,74","0,06","3,99","-2,26","0,06","-0,01","2,26"
,100010,Artikel Kappa,29.01.2025 07:22,nicht erfüllt,Mitarbeiter D,D45,BA-1003,"55,88","-0,19","3,4","0,88","-0,19","-0,6","1,08"
,100002,Artikel Beta,29.01.2025 17:20,erfüllt,Mitarbeiter B,D45,BA-1003,"54,37","0,28","3,94","-0,63","0,28","-0,06","0,69"
,100007,Artikel Eta,30.01.2025 12:18,erfüllt,Mitarbeiter A,D45,BA-1004,"54,85","0,23","3,94","-0,15","0,23","-0,06","0,28"
,100025,Artikel Nova,31.01.2025 14:21,nicht erfüllt,Mitarbeiter D,D45,BA-1004,"55,28","-0,65","4,08","0,28","-0,65","0,08","0,71"
,100008,Artikel Theta,01.02.2025 16:04,erfüllt,Mitarbeiter D,D45,BA-1001,56,"0,02","4,03",1,"0,02","0,03",1
,100017,Artikel Rho,01.02.2025 20:31,erfüllt,Mitarbeiter B,D45,BA-1001,"55,57","-0,25","4,31","0,57","-0,25","0,31","0,7"
,100010,Artikel Kappa,02.02.2025 00:29,erfüllt,Mitarbeiter C,D45,BA-1002,"55,95","-0,2","4,06","0,95","-0,2","0,06","0,97"
,100006,Artikel Zeta,02.02.2025 21:42,erfüllt,Mitarbeiter D,D45,BA-1003,"56,02","0,01","4,04","1,02","0,01","0,04","1,02"
,100001,Artikel Alpha,02.02.2025 23:58,erfüllt,Mitarbeiter A,D45,BA-1002,"54,07","0,29","4,03","-0,93","0,29","0,03","0,97"
,100006,Artikel Zeta,05.02.2025 05:07,erfüllt,Mitarbeiter C,D45,BA-1002,"56,08","0,14","4,07","1,08","0,14","0,07","1,09"
,100010,Artikel Kappa,05.02.2025 12:36,erfüllt,Mitarbeiter C,D45,BA-1002,"55,21","-0,13","3,75","0,21","-0,13","-0,25","0,35"
,100003,Artikel Gamma,05.02.2025 13:12,erfüllt,Mitarbeiter A,D45,BA-1004,"55,84","0,3",4,"0,84","0,3",0,"0,89"
,100012,Artikel Mu,06.02.2025 21:25,erfüllt,Mitarbeiter B,D45,BA-1002,"54,13","0,12","3,68","-0,87","0,12","-0,32","0,93"
,100019,Artikel Tau,06.02.2025 23:05,erfüllt,Mitarbeiter A,D45,BA-1002,"56,19","0,27","4,16","1,19","0,27","0,16","1,23"
,100016,Artikel Pi,07.02.2025 08:56,erfüllt,Mitarbeiter A,D45,BA-1003,"53,74","0,07","4,04","-1,26","0,07","0,04","1,26"
,100017,Artikel Rho,08.02.2025 15:21,erfüllt,Mitarbeiter C,D45,BA-1001,"54,53","0,13","4,29","-0,47","0,13","0,29","0,57"
,100006,Artikel Zeta,08.02.2025 17:24,erfüllt,Mitarbeiter A,D45,BA-1001,"55,03","-0,16","4,3","0,03","-0,16","0,3","0,34"
,100023,Artikel Psi,08.02.2025 19:00,erfüllt,Mitarbeiter B,D45,BA-1004,"54,7","0,12","3,82","-0,3","0,12","-0,18","0,37"
,100020,Artikel Upsilon,09.02.2025 14:08,erfüllt,Mitarbeiter A,D45,BA-1004,"53,81","-0,34","3,88","-1,19","-0,34","-0,12","1,24"
,100016,Artikel Pi,10.02.2025 11:57,erfüllt,Mitarbeiter C,D45,BA-1004,"54,89","0,06","3,86","-0,11","0,06","-0,14","0,19"
,100016,Artikel Pi,10.02.2025 22:09,erfüllt,Mitarbeiter B,D45,BA-1001,"55,43","-0,33","3,98","0,43","-0,33","-0,02","0,54"
,100022,Artikel Chi,11.02.2025 03:59,erfüllt,Mitarbeiter C,D45,BA-1003,"55,83","-0,29","4,31","0,83","-0,29","0,31","0,93"
,100008,Artikel Theta,11.02.2025 04:45,erfüllt,Mitarbeiter D,D45,BA-1003,"54,77","-0,29","4,13","-0,23","-0,29","0,13","0,39"
,100008,Artikel Theta,14.02.2025 01:01,erfüllt,Mitarbeiter A,D45,BA-1004,"54,76","-0,29","3,73","-0,24","-0,29","-0,27","0,46"
,100020,Artikel Upsilon,14.02.2025 18:50,erfüllt,Mitarbeiter C,D45,BA-1001,"56,24","-0,3","3,85","1,24","-0,3","-0,15","1,28"
,100001,Artikel Alpha,15.02.2025 08:06,nicht erfüllt,Mitarbeiter D,D45,BA-1004,"56,74","-0,12","4,2","1,74","-0,12","0,2","1,76"
,100008,Artikel Theta,16.02.2025 08:31,erfüllt,Mitarbeiter D,D45,BA-1001,"54,39","0,11","4,2","-0,61","0,11","0,2","0,65"
,100003,Artikel Gamma,17.02.2025 04:07,erfüllt,Mitarbeiter A,D45,BA-1004,"55,06","0,02","4,32","0,06","0,02","0,32","0,33"
,100022,Artikel Chi,17.02.2025 19:48,erfüllt,Mitarbeiter D,D45,BA-1004,"55,65","0,27","3,78","0,65","0,27","-0,22","0,74"
,100006,Artikel Zeta,19.02.2025 03:46,erfüllt,Mitarbeiter A,D45,BA-1004,"53,9","-0,02","4,14","-1,1","-0,02","0,14","1,11"
,100025,Artikel Nova,19.02.2025 06:16,erfüllt,Mitarbeiter A,D45,BA-1002,"55,74","-0,28","4,32","0,74","-0,28","0,32","0,85"
,100011,Artikel Lambda,19.02.2025 14:51,nicht erfüllt,Mitarbeiter A,D45,BA-1003,"55,98","-0,03","4,6","0,98","-0,03","0,6","1,15"
,100011,Artikel Lambda,19.02.2025 19:58,erfüllt,Mitarbeiter D,D45,BA-1004,"55,72","0,31","3,7","0,72","0,31","-0,3","0,84"
,100025,Artikel Nova,19.02.2025 21:18,erfüllt,Mitarbeiter D,D45,BA-1004,"54,24","-0,08","4,23","-0,76","-0,08","0,23","0,8"
,100008,Artikel Theta,20.02.2025 01:48,erfüllt,Mitarbeiter A,D45,BA-1002,"55,9","0,34","4,17","0,9","0,34","0,17","0,98"
,100012,Artikel Mu,20.02.2025 22:18,erfüllt,Mitarbeiter D,D45,BA-1003,"54,7","0,11","4,12","-0,3","0,11","0,12","0,34"
,100008,Artikel Theta,21.02.2025 11:28,erfüllt,Mitarbeiter C,D45,BA-1001,"54,26","0,08","3,93","-0,74","0,08","-0,07","0,75"
,100017,Artikel Rho,21.02.2025 14:55,erfüllt,Mitarbeiter C,D45,BA-1003,"55,33","-0,01","3,76","0,33","-0,01","-0,24","0,41"
,100001,Artikel Alpha,22.02.2025 01:21,erfüllt,Mitarbeiter B,D45,BA-1001,"54,84","0,3","4,12","-0,16","0,3","0,12","0,36"
,100022,Artikel Chi,22.02.2025 01:22,erfüllt,Mitarbeiter C,D45,BA-1002,"56,02","-0,27","3,66","1,02","-0,27","-0,34","1,11"
,100003,Artikel Gamma,22.02.2025 10:54,erfüllt,Mitarbeiter A,D45,BA-1002,"55,71","-0,28","3,82","0,71","-0,28","-0,18","0,78"
,100024,Artikel Omega,22.02.2025 14:46,erfüllt,Mitarbeiter D,D45,BA-1002,"54,72","-0,06","3,95","-0,28","-0,06","-0,05","0,29"
,100022,Artikel Chi,23.02.2025 02:52,erfüllt,Mitarbeiter A,D45,BA-1002,"54,23","-0,08","3,76","-0,77","-0,08","-0,24","0,81"
,100011,Artikel Lambda,24.02.2025 21:50,erfüllt,Mitarbeiter A,D45,BA-1003,"55,68","0,3","3,76","0,68","0,3","-0,24","0,78"
,100019,Artikel Tau,25.02.2025 13:24,erfüllt,Mitarbeiter C,D45,BA-1002,"54,4","0,15","4,02","-0,6","0,15","0,02","0,62"
,100004,Artikel Delta,25.02.2025 17:04,erfüllt,Mitarbeiter D,D45,BA-1001,"56,2","-0,29","4,13","1,2","-0,29","0,13","1,24"
,100025,Artikel Nova,26.02.2025 14:36,erfüllt,Mitarbeiter B,D45,BA-1003,"54,86","0,31","3,81","-0,14","0,31","-0,19","0,39"
,100004,Artikel Delta,26.02.2025 19:04,erfüllt,Mitarbeiter C,D45,BA-1002,"54,39","-0,3","4,15","-0,61","-0,3","0,15","0,7"
,100016,Artikel Pi,27.02.2025 03:59,nicht erfüllt,Mitarbeiter B,D45,BA-1003,"56,07","-0,59","3,95","1,07","-0,59","-0,05","1,22"
,100014,Artikel Xi,27.02.2025 08:55,erfüllt,Mitarbeiter B,D45,BA-1002,"54,05","-0,12","3,89","-0,95","-0,12","-0,11","0,96"
,100024,Artikel Omega,28.02.2025 12:17,erfüllt,Mitarbeiter C,D45,BA-1003,"55,51","-0,33","3,8","0,51","-0,33","-0,2","0,64"
,100020,Artikel Upsilon,28.02.2025 12:29,erfüllt,Mitarbeiter B,D45,BA-1001,"53,92","-0,15","3,73","-1,08","-0,15","-0,27","1,12"
,100015,Artikel Omikron,28.02.2025 20:10,erfüllt,Mitarbeiter C,D45,BA-1003,"54,37","0,31","4,25","-0,63","0,31","0,25","0,75"
,100014,Artikel Xi,01.03.2025 06:36,erfüllt,Mitarbeiter C,D45,BA-1002,"55,78","0,3","4,13","0,78","0,3","0,13","0,85"
,100012,Artikel Mu,01.03.2025 09:40,erfüllt,Mitarbeiter D,D45,BA-1002,"55,35","-0,07","3,9","0,35","-0,07","-0,1","0,37"
,100008,Artikel Theta,02.03.2025 19:09,erfüllt,Mitarbeiter D,D45,BA-1002,"56,13","-0,24","3,77","1,13","-0,24","-0,23","1,18"
,100021,Artikel Phi,03.03.2025 15:03,erfüllt,Mitarbeiter C,D45,BA-1004,"54,89","-0,07","4,07","-0,11","-0,07","0,07","0,15"
,100006,Artikel Zeta,04.03.2025 03:29,erfüllt,Mitarbeiter B,D45,BA-1002,"55,46","0,31","4,23","0,46","0,31","0,23","0,6"
,100004,Artikel Delta,05.03.2025 08:33,erfüllt,Mitarbeiter B,D45,BA-1002,"54,57","0,25","4,25","-0,43","0,25","0,25","0,56"
,100025,Artikel Nova,05.03.2025 17:19,erfüllt,Mitarbeiter B,D45,BA-1001,"56,07","0,12","3,68","1,07","0,12","-0,32","1,12"
,100012,Artikel Mu,06.03.2025 21:29,erfüllt,Mitarbeiter C,D45,BA-1003,"56,25","-0,04","4,01","1,25","-0,04","0,01","1,25"
,100001,Artikel Alpha,06.03.2025 23:01,nicht erfüllt,Mitarbeiter D,D45,BA-1001,"53,04","0,15","3,94","-1,96","0,15","-0,06","1,97"
,100017,Artikel Rho,07.03.2025 10:51,erfüllt,Mitarbeiter C,D45,BA-1002,"55,98","-0,09","4,31","0,98","-0,09","0,31","1,03"
,100008,Artikel Theta,08.03.2025 20:03,erfüllt,Mitarbeiter B,D45,BA-1001,"55,99",0,"3,84","0,99",0,"-0,16",1
,100020,Artikel Upsilon,10.03.2025 00:32,erfüllt,Mitarbeiter D,D45,BA-1004,"55,78","0,29","4,3","0,78","0,29","0,3","0,88"
,100020,Artikel Upsilon,10.03.2025 06:38,erfüllt,Mitarbeiter A,D45,BA-1002,"54,89","-0,24","4,14","-0,11","-0,24","0,14","0,3"
,100008,Artikel Theta,10.03.2025 10:30,erfüllt,Mitarbeiter B,D45,BA-1001,"55,07","0,18","4,23","0,07","0,18","0,23","0,3"
,100025,Artikel Nova,11.03.2025 02:05,erfüllt,Mitarbeiter C,D45,BA-1003,"55,06","0,26","3,82","0,06","0,26","-0,18","0,32"
,100015,Artikel Omikron,12.03.2025 14:55,erfüllt,Mitarbeiter A,D45,BA-1003,"54,7","0,02","3,67","-0,3","0,02","-0,33","0,45"
,100020,Artikel Upsilon,12.03.2025 22:13,erfüllt,Mitarbeiter D,D45,BA-1002,"55,63","0,14","4,32","0,63","0,14","0,32","0,72"
,100014,Artikel Xi,13.03.2025 12:59,erfüllt,Mitarbeiter B,D45,BA-1003,"55,47","0,02","4,06","0,47","0,02","0,06","0,47"
,100018,Artikel Sigma,13.03.2025 16:49,erfüllt,Mitarbeiter A,D45,BA-1001,"53,81","0,19","4,19","-1,19","0,19","0,19","1,22"
,100001,Artikel Alpha,14.03.2025 03:13,erfüllt,Mitarbeiter D,D45,BA-1003,"55,87","0,11","3,69","0,87","0,11","-0,31","0,93"
,100024,Artikel Omega,14.03.2025 14:07,erfüllt,Mitarbeiter D,D45,BA-1004,"55,6","0,02","3,73","0,6","0,02","-0,27","0,66"
,100013,Artikel Nu,14.03.2025 18:00,erfüllt,Mitarbeiter B,D45,BA-1003,"56,09","0,01","4,06","1,09","0,01","0,06","1,09"
,100001,Artikel Alpha,16.03.2025 00:14,erfüllt,Mitarbeiter C,D45,BA-1002,"53,89","0,01","3,83","-1,11","0,01","-0,17","1,12"
,100019,Artikel Tau,16.03.2025 03:42,erfüllt,Mitarbeiter A,D45,BA-1002,"55,51","0,12","3,91","0,51","0,12","-0,09","0,53"
,100003,Artikel Gamma,17.03.2025 12:08,erfüllt,Mitarbeiter D,D45,BA-1002,"56,04","-0,06","3,75","1,04","-0,06","-0,25","1,07"
,100009,Artikel Iota,18.03.2025 01:49,erfüllt,Mitarbeiter D,D45,BA-1003,"54,83","0,28","4,29","-0,17","0,28","0,29","0,44"
,100019,Artikel Tau,18.03.2025 20:04,erfüllt,Mitarbeiter C,D45,BA-1001,"55,66","0,12","4,13","0,66","0,12","0,13","0,68"
,100005,Artikel Epsilon,19.03.2025 06:12,erfüllt,Mitarbeiter D,D45,BA-1004,"53,78","0,2","3,99","-1,22","0,2","-0,01","1,24"
,100012,Artikel Mu,19.03.2025 13:59,nicht erfüllt,Mitarbeiter C,D45,BA-1003,"54,43","0,46","3,84","-0,57","0,46","-0,16","0,75"
,100018,Artikel Sigma,21.03.2025 16:29,erfüllt,Mitarbeiter A,D45,BA-1004,"54,85","0,05","3,88","-0,15","0,05","-0,12","0,2"
,100022,Artikel Chi,22.03.2025 13:02,erfüllt,Mitarbeiter D,D45,BA-1002,"54,08","0,23","3,68","-0,92","0,23","-0,32",1
,100022,Artikel Chi,22.03.2025 15:22,erfüllt,Mitarbeiter B,D45,BA-1003,"55,35","-0,07","3,75","0,35","-0,07","-0,25","0,44"
,100010,Artikel Kappa,23.03.2025 03:53,erfüllt,Mitarbeiter D,D45,BA-1003,"54,77","0,1","3,91","-0,23","0,1","-0,09","0,27"
,100011,Artikel Lambda,23.03.2025 06:16,erfüllt,Mitarbeiter B,D45,BA-1002,"54,82","-0,27","4,31","-0,18","-0,27","0,31","0,45"
,100024,Artikel Omega,23.03.2025 15:30,erfüllt,Mitarbeiter D,D45,BA-1002,"54,84","-0,16","4,25","-0,16","-0,16","0,25","0,34"
,100025,Artikel Nova,23.03.2025 21:33,erfüllt,Mitarbeiter C,D45,BA-1003,"54,72","-0,05","3,86","-0,28","-0,05","-0,14","0,32"
,100004,Artikel Delta,23.03.2025 22:08,erfüllt,Mitarbeiter A,D45,BA-1003,"54,17","-0,08","3,96","-0,83","-0,08","-0,04","0,83"
,100009,Artikel Iota,27.03.2025 03:45,erfüllt,Mitarbeiter B,D45,BA-1001,"55,69","-0,15","4,08","0,69","-0,15","0,08","0,71"
,100014,Artikel Xi,27.03.2025 06:53,erfüllt,Mitarbeiter D,D45,BA-1001,"55,17","-0,09","4,15","0,17","-0,09","0,15","0,24"
,100020,Artikel Upsilon,29.03.2025 19:30,erfüllt,Mitarbeiter D,D45,BA-1001,"56,26","0,21","3,83","1,26","0,21","-0,17","1,29"
,100023,Artikel Psi,29.03.2025 22:18,erfüllt,Mitarbeiter A,D45,BA-1003,"56,14","0,09","3,77","1,14","0,09","-0,23","1,17"
,100024,Artikel Omega,30.03.2025 01:18,erfüllt,Mitarbeiter C,D45,BA-1004,"54,91","0,15","3,71","-0,09","0,15","-0,29","0,34"
,100006,Artikel Zeta,30.03.2025 01:20,erfüllt,Mitarbeiter C,D45,BA-1002,"54,32","0,27","3,72","-0,68","0,27","-0,28","0,78"
,100005,Artikel Epsilon,30.03.2025 04:19,nicht erfüllt,Mitarbeiter A,D45,BA-1003,"54,86","0,12","3,3","-0,14","0,12","-0,7","0,72"
,100015,Artikel Omikron,30.03.2025 07:58,erfüllt,Mitarbeiter A,D45,BA-1004,"55,17","0,11","3,73","0,17","0,11","-0,27","0,34"
,100022,Artikel Chi,30.03.2025 13:05,erfüllt,Mitarbeiter B,D45,BA-1001,"55,53","-0,14","4,34","0,53","-0,14","0,34","0,65"
,100005,Artikel Epsilon,31.03.2025 17:05,erfüllt,Mitarbeiter B,D45,BA-1004,"54,35","-0,03","4,09","-0,65","-0,03","0,09","0,66"
,100008,Artikel Theta,31.03.2025 17:35,erfüllt,Mitarbeiter D,D45,BA-1004,"53,99","-0,13","3,78","-1,01","-0,13","-0,22","1,04"
,100012,Artikel Mu,01.04.2025 02:34,erfüllt,Mitarbeiter D,D45,BA-1001,"56,09","-0,33","3,91","1,09","-0,33","-0,09","1,14"
,100024,Artikel Omega,01.04.2025 11:54,erfüllt,Mitarbeiter C,D45,BA-1003,"55,21","0,16","3,91","0,21","0,16","-0,09","0,28"
,100021,Artikel Phi,02.04.2025 06:35,erfüllt,Mitarbeiter A,D45,BA-1002,"55,8","0,18","3,98","0,8","0,18","-0,02","0,82"
,100010,Artikel Kappa,04.04.2025 12:03,erfüllt,Mitarbeiter C,D45,BA-1002,"54,8","-0,31","4,2","-0,2","-0,31","0,2","0,42"
,100008,Artikel Theta,05.04.2025 08:07,nicht erfüllt,Mitarbeiter A,D45,BA-1001,"56,21","0,16","4,62","1,21","0,16","0,62","1,37"
,100001,Artikel Alpha,06.04.2025 02:20,erfüllt,Mitarbeiter C,D45,BA-1003,"55,95","-0,33","4,18","0,95","-0,33","0,18","1,02"
,100017,Artikel Rho,06.04.2025 11:33,erfüllt,Mitarbeiter D,D45,BA-1003,"54,81","-0,13","4,05","-0,19","-0,13","0,05","0,24"
,100013,Artikel Nu,06.04.2025 17:12,erfüllt,Mitarbeiter D,D45,BA-1002,"55,76","-0,2","3,76","0,76","-0,2","-0,24","0,82"
,100019,Artikel Tau,07.04.2025 04:53,erfüllt,Mitarbeiter B,D45,BA-1002,"53,91","0,06","3,69","-1,09","0,06","-0,31","1,13"
,100014,Artikel Xi,07.04.2025 15:52,erfüllt,Mitarbeiter C,D45,BA-1004,"54,52","0,1","4,08","-0,48","0,1","0,08","0,5"
,100008,Artikel Theta,07.04.2025 21:07,erfüllt,Mitarbeiter A,D45,BA-1003,"54,11","0,15","3,78","-0,89","0,15","-0,22","0,93"
,100008,Artikel Theta,08.04.2025 00:19,erfüllt,Mitarbeiter D,D45,BA-1004,"55,56","-0,02","3,93","0,56","-0,02","-0,07","0,56"
,100023,Artikel Psi,08.04.2025 11:50,erfüllt,Mitarbeiter C,D45,BA-1003,"55,21","-0,26","4,15","0,21","-0,26","0,15","0,37"
,100016,Artikel Pi,09.04.2025 08:16,erfüllt,Mitarbeiter B,D45,BA-1004,"56,11","0,22","4,3","1,11","0,22","0,3","1,17"
,100015,Artikel Omikron,09.04.2025 20:44,erfüllt,Mitarbeiter A,D45,BA-1003,"56,12","-0,05","4,29","1,12","-0,05","0,29","1,16"
,100025,Artikel Nova,10.04.2025 05:17,nicht erfüllt,Mitarbeiter C,D45,BA-1002,"53,27","-0,17","3,84","-1,73","-0,17","-0,16","1,75"
,100012,Artikel Mu,10.04.2025 05:22,erfüllt,Mitarbeiter D,D45,BA-1004,"54,48","-0,26","3,67","-0,52","-0,26","-0,33","0,67"
,100012,Artikel Mu,10.04.2025 23:22,erfüllt,Mitarbeiter B,D45,BA-1003,"55,31","-0,06","3,68","0,31","-0,06","-0,32","0,45"
,100018,Artikel Sigma,11.04.2025 03:31,erfüllt,Mitarbeiter C,D45,BA-1001,"54,69","0,28","3,91","-0,31","0,28","-0,09","0,43"
,100004,Artikel Delta,12.04.2025 05:00,erfüllt,Mitarbeiter A,D45,BA-1003,"55,32","-0,34","3,68","0,32","-0,34","-0,32","0,57"
,100002,Artikel Beta,12.04.2025 12:17,erfüllt,Mitarbeiter A,D45,BA-1004,54,"0,31","3,91",-1,"0,31","-0,09","1,05"
,100016,Artikel Pi,12.04.2025 15:02,erfüllt,Mitarbeiter C,D45,BA-1003,"54,1","-0,33","3,72","-0,9","-0,33","-0,28",1
,100001,Artikel Alpha,13.04.2025 04:16,erfüllt,Mitarbeiter C,D45,BA-1002,"56,1","-0,15","3,96","1,1","-0,15","-0,04","1,11"
,100004,Artikel Delta,13.04.2025 22:02,nicht erfüllt,Mitarbeiter A,D45,BA-1001,"53,95","0,25","4,66","-1,05","0,25","0,66","1,27"
,100022,Artikel Chi,14.04.2025 09:04,erfüllt,Mitarbeiter D,D45,BA-1004,"53,75","-0,24","4,04","-1,25","-0,24","0,04","1,27"
